scenario,label,ms
cold,count_all,9.880
cold,kpi_by_payer,9.085
cold,kpi_by_site,14.629
cold,kpi_by_admission_type_site,9.643
cold,kpi_by_ward,8.167
cold,top_groups_present,471.879
cold,kpi_by_age_group,10.010
cold,top_groups_full,531.927
cold,kpi_by_admission_type,7.665
warm,count_all,2.312
warm,kpi_by_payer,10.342
warm,kpi_by_site,6.777
warm,kpi_by_admission_type_site,9.210
warm,kpi_by_ward,9.435
warm,top_groups_present,435.883
warm,kpi_by_age_group,6.711
warm,top_groups_full,468.433
warm,kpi_by_admission_type,8.022
