scenario,label,ms
cold,count_all,3.817
cold,kpi_by_age_group,7.136
cold,kpi_by_appt_type,6.779
cold,kpi_by_appt_type_site,9.097
cold,kpi_by_department,7.314
cold,kpi_by_provider_role,7.330
cold,kpi_by_site,6.689
cold,top_groups_full,892.914
cold,top_groups_present,577.575
warm,count_all,1.972
warm,kpi_by_age_group,6.921
warm,kpi_by_appt_type,6.820
warm,kpi_by_appt_type_site,9.311
warm,kpi_by_department,7.306
warm,kpi_by_provider_role,7.391
warm,kpi_by_site,6.951
warm,top_groups_full,944.438
warm,top_groups_present,525.659
