scenario,label,ms
cold,count_all,5.686
cold,kpi_by_admission_type,6.778
cold,kpi_by_admission_type_site,9.520
cold,kpi_by_age_group,7.118
cold,kpi_by_payer,7.285
cold,kpi_by_site,6.726
cold,kpi_by_ward,7.843
cold,top_groups_full,304.751
cold,top_groups_present,254.119
warm,count_all,1.848
warm,kpi_by_admission_type,6.722
warm,kpi_by_admission_type_site,8.874
warm,kpi_by_age_group,6.961
warm,kpi_by_payer,7.109
warm,kpi_by_site,7.474
warm,kpi_by_ward,7.540
warm,top_groups_full,307.741
warm,top_groups_present,267.905
