scenario,label,ms
cold,count_all,4.134
cold,kpi_by_payer,9.499
cold,kpi_by_site,7.511
cold,kpi_by_admission_type_site,9.722
cold,kpi_by_ward,11.510
cold,top_groups_present,1139.748
cold,kpi_by_age_group,23.263
cold,top_groups_full,1321.531
cold,kpi_by_admission_type,13.865
warm,count_all,3.335
warm,kpi_by_payer,13.415
warm,kpi_by_site,13.094
warm,kpi_by_admission_type_site,16.499
warm,kpi_by_ward,12.311
warm,top_groups_present,1158.465
warm,kpi_by_age_group,11.242
warm,top_groups_full,1093.733
warm,kpi_by_admission_type,9.532
