scenario,label,ms
cold,count_all,4.306
cold,kpi_by_appt_type,8.563
cold,kpi_by_department,7.730
cold,kpi_by_site,9.760
cold,top_groups_present,578.530
cold,kpi_by_appt_type_site,10.657
cold,kpi_by_age_group,8.438
cold,kpi_by_provider_role,7.951
cold,top_groups_full,898.056
warm,count_all,2.331
warm,kpi_by_appt_type,7.599
warm,kpi_by_department,7.765
warm,kpi_by_site,9.566
warm,top_groups_present,593.009
warm,kpi_by_appt_type_site,9.749
warm,kpi_by_age_group,7.347
warm,kpi_by_provider_role,7.960
warm,top_groups_full,833.878
