scenario,label,ms
cold,count_all,3.745
cold,kpi_by_appt_type,18.720
cold,kpi_by_department,8.204
cold,kpi_by_site,9.707
cold,top_groups_present,669.834
cold,kpi_by_appt_type_site,10.239
cold,kpi_by_age_group,7.959
cold,kpi_by_provider_role,8.468
cold,top_groups_full,727.404
warm,count_all,1.743
warm,kpi_by_appt_type,6.926
warm,kpi_by_department,10.064
warm,kpi_by_site,8.222
warm,top_groups_present,715.715
warm,kpi_by_appt_type_site,9.428
warm,kpi_by_age_group,6.907
warm,kpi_by_provider_role,7.911
warm,top_groups_full,757.868
