scenario,label,ms
cold,count_all,3.350
cold,kpi_by_admission_type,7.079
cold,kpi_by_admission_type_site,9.420
cold,kpi_by_age_group,6.584
cold,kpi_by_payer,6.701
cold,kpi_by_site,8.344
cold,kpi_by_ward,6.948
cold,top_groups_full,515.954
cold,top_groups_present,457.450
warm,count_all,1.709
warm,kpi_by_admission_type,6.101
warm,kpi_by_admission_type_site,8.358
warm,kpi_by_age_group,6.186
warm,kpi_by_payer,6.490
warm,kpi_by_site,6.090
warm,kpi_by_ward,6.379
warm,top_groups_full,473.604
warm,top_groups_present,463.776
