scenario,label,ms
cold,count_all,2.646
cold,kpi_by_admission_type,7.260
cold,kpi_by_admission_type_site,12.255
cold,kpi_by_age_group,10.448
cold,kpi_by_payer,8.315
cold,kpi_by_site,10.002
cold,kpi_by_ward,11.327
cold,top_groups_full,573.372
cold,top_groups_present,476.367
warm,count_all,1.700
warm,kpi_by_admission_type,5.908
warm,kpi_by_admission_type_site,8.501
warm,kpi_by_age_group,7.050
warm,kpi_by_payer,6.918
warm,kpi_by_site,6.713
warm,kpi_by_ward,8.772
warm,top_groups_full,498.136
warm,top_groups_present,690.403
