scenario,label,ms
cold,count_all,8.383
cold,kpi_by_appt_type,8.664
cold,kpi_by_department,9.316
cold,kpi_by_site,8.016
cold,top_groups_present,804.160
cold,kpi_by_appt_type_site,16.674
cold,kpi_by_age_group,14.417
cold,kpi_by_provider_role,17.010
cold,top_groups_full,1212.767
warm,count_all,3.032
warm,kpi_by_appt_type,11.810
warm,kpi_by_department,16.573
warm,kpi_by_site,12.781
warm,top_groups_present,1245.497
warm,kpi_by_appt_type_site,24.866
warm,kpi_by_age_group,10.996
warm,kpi_by_provider_role,13.284
warm,top_groups_full,1147.591
