scenario,label,ms
cold,count_all,4.447
cold,kpi_by_appt_type,7.599
cold,kpi_by_department,8.467
cold,kpi_by_site,15.233
cold,top_groups_present,623.181
cold,kpi_by_appt_type_site,10.233
cold,kpi_by_age_group,9.676
cold,kpi_by_provider_role,8.126
cold,top_groups_full,951.216
warm,count_all,1.755
warm,kpi_by_appt_type,6.584
warm,kpi_by_department,7.119
warm,kpi_by_site,10.464
warm,top_groups_present,610.443
warm,kpi_by_appt_type_site,10.382
warm,kpi_by_age_group,6.706
warm,kpi_by_provider_role,7.423
warm,top_groups_full,865.224
