scenario,label,ms
cold,count_all,3.717
cold,kpi_by_payer,9.730
cold,kpi_by_site,7.450
cold,kpi_by_admission_type_site,9.987
cold,kpi_by_ward,7.766
cold,top_groups_present,413.448
cold,kpi_by_age_group,12.235
cold,top_groups_full,785.186
cold,kpi_by_admission_type,15.559
warm,count_all,4.048
warm,kpi_by_payer,13.784
warm,kpi_by_site,13.036
warm,kpi_by_admission_type_site,17.472
warm,kpi_by_ward,12.122
warm,top_groups_present,795.376
warm,kpi_by_age_group,10.767
warm,top_groups_full,1132.917
warm,kpi_by_admission_type,9.884
