scenario,label,ms
cold,count_all,4.605
cold,kpi_by_payer,7.737
cold,kpi_by_site,8.969
cold,kpi_by_admission_type_site,9.682
cold,kpi_by_ward,7.478
cold,top_groups_present,476.486
cold,kpi_by_age_group,11.330
cold,top_groups_full,719.030
cold,kpi_by_admission_type,7.725
warm,count_all,1.697
warm,kpi_by_payer,7.064
warm,kpi_by_site,6.502
warm,kpi_by_admission_type_site,8.382
warm,kpi_by_ward,7.298
warm,top_groups_present,402.820
warm,kpi_by_age_group,7.673
warm,top_groups_full,1438.017
warm,kpi_by_admission_type,11.965
