scenario,label,ms
cold,count_all,5.195
cold,kpi_by_appt_type,9.444
cold,kpi_by_department,10.348
cold,kpi_by_site,8.010
cold,top_groups_present,786.733
cold,kpi_by_appt_type_site,10.221
cold,kpi_by_age_group,9.591
cold,kpi_by_provider_role,16.818
cold,top_groups_full,940.594
warm,count_all,2.953
warm,kpi_by_appt_type,6.900
warm,kpi_by_department,7.717
warm,kpi_by_site,7.886
warm,top_groups_present,771.780
warm,kpi_by_appt_type_site,10.978
warm,kpi_by_age_group,6.881
warm,kpi_by_provider_role,7.009
warm,top_groups_full,881.991
