scenario,label,ms
cold,count_all,3.444
cold,kpi_by_admission_type,9.372
cold,kpi_by_admission_type_site,11.271
cold,kpi_by_age_group,6.499
cold,kpi_by_payer,6.871
cold,kpi_by_site,6.514
cold,kpi_by_ward,8.203
cold,top_groups_full,510.890
cold,top_groups_present,449.781
warm,count_all,1.974
warm,kpi_by_admission_type,6.128
warm,kpi_by_admission_type_site,9.394
warm,kpi_by_age_group,7.044
warm,kpi_by_payer,8.061
warm,kpi_by_site,7.328
warm,kpi_by_ward,6.548
warm,top_groups_full,490.313
warm,top_groups_present,457.530
