scenario,label,ms
cold,count_all,5.937
cold,kpi_by_payer,8.593
cold,kpi_by_site,8.550
cold,kpi_by_admission_type_site,9.911
cold,kpi_by_ward,8.907
cold,top_groups_present,489.726
cold,kpi_by_age_group,9.506
cold,top_groups_full,647.225
cold,kpi_by_admission_type,7.150
warm,count_all,1.982
warm,kpi_by_payer,12.996
warm,kpi_by_site,6.930
warm,kpi_by_admission_type_site,8.643
warm,kpi_by_ward,9.812
warm,top_groups_present,534.931
warm,kpi_by_age_group,18.312
warm,top_groups_full,1327.190
warm,kpi_by_admission_type,12.318
