group_obj,visits
"{""site"": ""Main"", ""weekday"": ""Wed"", ""modality"": ""InPerson"", ""age_group"": ""Adult"", ""appt_type"": ""FollowUp"", ""insurance"": ""Private"", ""department"": ""General"", ""visit_hour"": ""10:00"", ""provider_role"": ""Attending""}",34
"{""site"": ""Main"", ""weekday"": ""Fri"", ""modality"": ""InPerson"", ""age_group"": ""Adult"", ""appt_type"": ""FollowUp"", ""insurance"": ""Private"", ""department"": ""General"", ""visit_hour"": ""10:00"", ""provider_role"": ""Attending""}",33
"{""site"": ""Main"", ""weekday"": ""Thu"", ""modality"": ""InPerson"", ""age_group"": ""Peds"", ""appt_type"": ""FollowUp"", ""insurance"": ""Private"", ""department"": ""Pediatrics"", ""visit_hour"": ""10:00"", ""provider_role"": ""Attending""}",32
"{""site"": ""Main"", ""weekday"": ""Fri"", ""modality"": ""InPerson"", ""age_group"": ""Adult"", ""appt_type"": ""FollowUp"", ""insurance"": ""Private"", ""department"": ""General"", ""visit_hour"": ""09:00"", ""provider_role"": ""Attending""}",32
"{""site"": ""Main"", ""weekday"": ""Wed"", ""modality"": ""InPerson"", ""age_group"": ""Peds"", ""appt_type"": ""FollowUp"", ""insurance"": ""Private"", ""department"": ""Pediatrics"", ""visit_hour"": ""10:00"", ""provider_role"": ""Attending""}",30
"{""site"": ""Main"", ""weekday"": ""Mon"", ""modality"": ""InPerson"", ""age_group"": ""Peds"", ""appt_type"": ""FollowUp"", ""insurance"": ""Private"", ""department"": ""Pediatrics"", ""visit_hour"": ""09:00"", ""provider_role"": ""Attending""}",29
"{""site"": ""Main"", ""weekday"": ""Tue"", ""modality"": ""InPerson"", ""age_group"": ""Peds"", ""appt_type"": ""FollowUp"", ""insurance"": ""Private"", ""department"": ""Pediatrics"", ""visit_hour"": ""09:00"", ""provider_role"": ""Attending""}",29
"{""site"": ""Main"", ""weekday"": ""Thu"", ""modality"": ""InPerson"", ""age_group"": ""Adult"", ""appt_type"": ""FollowUp"", ""insurance"": ""Private"", ""department"": ""General"", ""visit_hour"": ""09:00"", ""provider_role"": ""Attending""}",28
"{""site"": ""Main"", ""weekday"": ""Mon"", ""modality"": ""InPerson"", ""age_group"": ""Adult"", ""appt_type"": ""FollowUp"", ""insurance"": ""Private"", ""department"": ""General"", ""visit_hour"": ""10:00"", ""provider_role"": ""Attending""}",28
"{""site"": ""Main"", ""weekday"": ""Wed"", ""modality"": ""InPerson"", ""age_group"": ""Adult"", ""appt_type"": ""FollowUp"", ""insurance"": ""Private"", ""department"": ""Imaging"", ""visit_hour"": ""10:00"", ""provider_role"": ""Attending""}",28
"{""site"": ""Main"", ""weekday"": ""Tue"", ""modality"": ""InPerson"", ""age_group"": ""Adult"", ""appt_type"": ""FollowUp"", ""insurance"": ""Private"", ""department"": ""General"", ""visit_hour"": ""10:00"", ""provider_role"": ""Attending""}",28
"{""site"": ""Main"", ""weekday"": ""Thu"", ""modality"": ""InPerson"", ""age_group"": ""Peds"", ""appt_type"": ""FollowUp"", ""insurance"": ""Private"", ""department"": ""Pediatrics"", ""visit_hour"": ""09:00"", ""provider_role"": ""Attending""}",27
