scenario,label,ms
cold,count_all,17.090
cold,kpi_by_age_group,15.787
cold,kpi_by_appt_type,14.731
cold,kpi_by_appt_type_site,14.421
cold,kpi_by_department,10.121
cold,kpi_by_provider_role,8.620
cold,kpi_by_site,7.534
cold,top_groups_full,422.802
cold,top_groups_present,368.731
warm,count_all,1.842
warm,kpi_by_age_group,7.596
warm,kpi_by_appt_type,6.814
warm,kpi_by_appt_type_site,9.809
warm,kpi_by_department,7.576
warm,kpi_by_provider_role,8.274
warm,kpi_by_site,7.348
warm,top_groups_full,432.108
warm,top_groups_present,344.172
