scenario,label,ms
cold,count_all,2.780
cold,kpi_by_age_group,7.594
cold,kpi_by_appt_type,7.791
cold,kpi_by_appt_type_site,10.154
cold,kpi_by_department,7.693
cold,kpi_by_provider_role,7.927
cold,kpi_by_site,7.475
cold,top_groups_full,782.828
cold,top_groups_present,609.527
warm,count_all,1.689
warm,kpi_by_age_group,6.662
warm,kpi_by_appt_type,7.246
warm,kpi_by_appt_type_site,8.720
warm,kpi_by_department,6.667
warm,kpi_by_provider_role,6.962
warm,kpi_by_site,6.709
warm,top_groups_full,694.281
warm,top_groups_present,601.295
