scenario,label,ms
cold,count_all,3.677
cold,kpi_by_appt_type,7.948
cold,kpi_by_department,8.227
cold,kpi_by_site,10.404
cold,top_groups_present,552.661
cold,kpi_by_appt_type_site,12.054
cold,kpi_by_age_group,7.772
cold,kpi_by_provider_role,9.360
cold,top_groups_full,890.247
warm,count_all,1.889
warm,kpi_by_appt_type,6.671
warm,kpi_by_department,11.732
warm,kpi_by_site,6.706
warm,top_groups_present,605.130
warm,kpi_by_appt_type_site,10.316
warm,kpi_by_age_group,6.662
warm,kpi_by_provider_role,7.058
warm,top_groups_full,886.143
