scenario,label,ms
cold,count_all,5.516
cold,kpi_by_payer,8.671
cold,kpi_by_site,7.528
cold,kpi_by_admission_type_site,20.232
cold,kpi_by_ward,7.789
cold,top_groups_present,490.714
cold,kpi_by_age_group,7.484
cold,top_groups_full,519.238
cold,kpi_by_admission_type,16.114
warm,count_all,1.821
warm,kpi_by_payer,9.511
warm,kpi_by_site,7.835
warm,kpi_by_admission_type_site,8.929
warm,kpi_by_ward,6.981
warm,top_groups_present,423.774
warm,kpi_by_age_group,13.628
warm,top_groups_full,517.350
warm,kpi_by_admission_type,6.390
