scenario,label,ms
cold,count_all,2.825
cold,kpi_by_age_group,6.822
cold,kpi_by_appt_type,6.505
cold,kpi_by_appt_type_site,8.891
cold,kpi_by_department,6.961
cold,kpi_by_provider_role,7.154
cold,kpi_by_site,6.843
cold,top_groups_full,701.071
cold,top_groups_present,601.043
warm,count_all,1.994
warm,kpi_by_age_group,7.045
warm,kpi_by_appt_type,8.119
warm,kpi_by_appt_type_site,14.813
warm,kpi_by_department,12.974
warm,kpi_by_provider_role,10.393
warm,kpi_by_site,7.943
warm,top_groups_full,678.212
warm,top_groups_present,619.299
